id_pedido,produto,categoria,qtd,preco_unit,cliente_uf
1000,Teclado,Periféricos,,250.0,RS
1001,Cadeira Gamer,Móveis,1.0,1200.0,RJ
1002,Mouse,Periféricos,1.0,120.0,RS
1003,Cadeira Gamer,Móveis,1.0,1200.0,MG
1004,Cadeira Gamer,Móveis,2.0,1200.0,RS
1005,Monitor,Eletrônicos,1.0,800.0,BA
1006,Mouse,Periféricos,3.0,120.0,SP
1007,Mouse,Periféricos,,120.0,RS
1008,Mouse,Periféricos,1.0,120.0,RS
1009,Cadeira Gamer,Móveis,3.0,1200.0,SP
1010,Teclado,Periféricos,1.0,250.0,BA
1011,Mouse,Periféricos,2.0,120.0,RJ
1012,Mesa Office,Móveis,1.0,600.0,
1013,Cadeira Gamer,Móveis,2.0,1200.0,SP
1014,Monitor,Eletrônicos,1.0,800.0,MG
1015,Teclado,Periféricos,2.0,250.0,SP
1016,Mesa Office,Móveis,1.0,600.0,MG
1017,Mesa Office,Móveis,,600.0,BA
1018,Monitor,Eletrônicos,2.0,800.0,RJ
1019,Teclado,Periféricos,2.0,250.0,SP
1020,Cadeira Gamer,Móveis,5.0,1200.0,SC
1021,Smartphone,Eletrônicos,1.0,1500.0,RS
1022,Teclado,Periféricos,1.0,250.0,BA
1023,Monitor,Eletrônicos,,800.0,SP
1024,Mesa Office,Móveis,2.0,600.0,RS
1025,Cadeira Gamer,Móveis,1.0,1200.0,SP
1026,Teclado,Periféricos,1.0,250.0,
1027,Smartphone,Eletrônicos,3.0,1500.0,SP
1028,Smartphone,Eletrônicos,5.0,1500.0,SC
1029,Mouse,Periféricos,3.0,120.0,SP
1030,Mouse,Periféricos,3.0,120.0,SP
1031,Monitor,Eletrônicos,3.0,800.0,SC
1032,Teclado,Periféricos,3.0,250.0,BA
1033,Teclado,Periféricos,3.0,250.0,SP
1034,Mesa Office,Móveis,2.0,600.0,SC
1035,Mesa Office,Móveis,1.0,600.0,RS
1036,Mesa Office,Móveis,3.0,600.0,MG
1037,Mouse,Periféricos,1.0,120.0,MG
1038,Teclado,Periféricos,1.0,250.0,SP
1039,Teclado,Periféricos,1.0,250.0,BA
1040,Smartphone,Eletrônicos,,1500.0,BA
1041,Mouse,Periféricos,,120.0,RS
1042,Cadeira Gamer,Móveis,,1200.0,SP
1043,Mouse,Periféricos,2.0,120.0,MG
1044,Cadeira Gamer,Móveis,5.0,1200.0,BA
1045,Smartphone,Eletrônicos,1.0,1500.0,SP
1046,Monitor,Eletrônicos,2.0,800.0,BA
1047,Teclado,Periféricos,2.0,250.0,SC
1048,Smartphone,Eletrônicos,,1500.0,BA
1049,Teclado,Periféricos,1.0,250.0,MG
1050,Mesa Office,Móveis,2.0,600.0,RJ
1051,Monitor,Eletrônicos,1.0,800.0,RS
1052,Monitor,Eletrônicos,,800.0,RS
1053,Smartphone,Eletrônicos,1.0,1500.0,MG
1054,Monitor,Eletrônicos,,800.0,BA
1055,Cadeira Gamer,Móveis,2.0,1200.0,SP
1056,Monitor,Eletrônicos,3.0,800.0,BA
1057,Teclado,Periféricos,2.0,250.0,MG
1058,Teclado,Periféricos,3.0,250.0,RS
1059,Teclado,Periféricos,2.0,250.0,BA
1060,Teclado,Periféricos,3.0,250.0,RS
1061,Cadeira Gamer,Móveis,1.0,1200.0,SP
1062,Mouse,Periféricos,2.0,120.0,
