ID_Funcionario,Departamento,Anos_Experiencia,Nota_Satisfacao,Salario_BRL
1001,Logistica,21,7,10653
1002,RH,6,8,5212
1003,RH,22,3,11175
1004,TI,14,3,9726
1005,Marketing,14,6,7595
1006,Marketing,7,10,5424
1007,Marketing,20,1,9852
1008,TI,21,8,11885
1009,RH,8,10,6049
1010,Logistica,15,7,8102
1011,Marketing,7,1,5480
1012,RH,12,1,7577
1013,RH,12,10,7395
1014,RH,5,10,4708
1015,TI,11,9,8383
1016,Financas,12,5,8304
1017,Marketing,16,10,8321
1018,Logistica,15,4,8454
1019,RH,7,9,5837
1020,Logistica,23,6,11443
1021,Marketing,3,7,3903
1022,TI,16,4,11068
1023,Logistica,24,6,11383
1024,Marketing,5,4,4574
1025,RH,18,9,9273
1026,TI,21,1,12180
1027,Financas,1,2,4811
1028,Financas,2,3,5077
1029,RH,19,8,9785
1030,TI,20,8,11560
1031,Marketing,21,2,10198
1032,Logistica,14,3,7518
1033,Financas,2,5,5398
1034,TI,6,4,6780
1035,RH,3,3,4271
1036,Marketing,8,2,5482
1037,Financas,23,3,12346
1038,Marketing,19,8,9640
1039,TI,14,5,9864
1040,TI,11,8,8957
1041,Marketing,4,1,3925
1042,TI,5,5,7171
1043,Logistica,21,4,10252
1044,Financas,4,6,5889
1045,Financas,3,1,5332
1046,TI,13,6,9145
1047,Financas,10,4,8033
1048,Financas,17,2,10811
1049,RH,19,1,9806
1050,Financas,19,8,11525
1051,Financas,14,2,9102
1052,Marketing,11,3,6895
1053,Logistica,5,4,5223
1054,Marketing,12,6,7609
1055,Financas,4,6,5674
1056,Financas,10,7,8473
1057,RH,22,2,11181
1058,RH,24,3,11274
1059,RH,21,7,10497
1060,Logistica,8,2,5335
1061,RH,15,3,8731
1062,TI,17,6,10789
1063,Financas,13,3,9496
1064,Marketing,18,10,9261
1065,Financas,24,4,12411
1066,Logistica,19,9,9245
1067,TI,4,6,6831
1068,Financas,24,1,13253
1069,RH,17,4,9184
1070,Logistica,10,9,6291
1071,RH,17,5,8468
1072,Logistica,12,6,7606
1073,Logistica,17,8,8817
1074,Financas,13,8,9062
1075,TI,21,6,12120
1076,Financas,12,8,8355
1077,Financas,24,4,12493
1078,Marketing,5,6,4318
1079,TI,2,4,5243
1080,RH,1,5,3104
1081,Financas,19,1,11399
1082,Marketing,16,9,8764
1083,Financas,4,8,5774
1084,Logistica,9,4,6556
1085,TI,14,10,9964
1086,Logistica,16,3,8450
1087,TI,2,8,6033
1088,Marketing,19,9,9656
1089,Financas,5,6,6504
1090,Logistica,17,9,9024
1091,Marketing,13,4,7527
1092,RH,1,7,3344
1093,Marketing,6,1,5264
1094,TI,8,1,7503
1095,Marketing,9,1,6408
1096,Financas,8,3,7608
1097,Logistica,20,4,9959
1098,TI,1,8,5508
1099,Logistica,17,3,8541
1100,TI,17,2,10790
1101,Logistica,13,3,7990
1102,TI,16,2,10279
1103,RH,18,2,9277
1104,TI,12,5,9241
1105,Marketing,17,4,8940
1106,Financas,16,7,9988
1107,TI,3,4,5892
1108,Logistica,2,1,4162
1109,Marketing,11,7,6751
1110,Marketing,21,9,10512
1111,Financas,9,8,7893
1112,TI,22,1,12933
1113,Financas,8,10,7256
1114,Logistica,16,5,8886
1115,Logistica,13,9,8038
1116,Marketing,16,10,8294
1117,Logistica,19,1,9912
1118,RH,24,1,11389
1119,Logistica,24,3,11866
1120,TI,21,10,12778
1121,Marketing,1,3,3104
1122,Financas,1,2,4686
1123,TI,22,3,12940
1124,Logistica,20,2,9820
1125,Logistica,18,8,9461
1126,RH,24,3,11021
1127,Financas,13,1,9402
1128,Marketing,23,1,11489
1129,Marketing,23,10,11398
1130,Financas,22,7,12511
1131,TI,24,7,13899
1132,Marketing,4,7,4596
1133,Marketing,9,7,5826
1134,Marketing,10,2,6630
1135,Logistica,23,7,10707
1136,Marketing,3,7,3714
1137,Marketing,4,10,3911
1138,RH,4,8,4873
1139,Marketing,12,5,7486
1140,TI,1,1,5129
1141,Financas,12,5,8839
1142,Marketing,15,4,8715
1143,Marketing,20,2,9918
1144,Logistica,4,9,4218
1145,Marketing,19,6,10124
1146,RH,6,5,4944
1147,TI,8,6,7954
1148,Logistica,8,9,5628
1149,Financas,6,2,6644
1150,RH,6,6,5172
