Data_Venda,Categoria,Preco_Unitario,Desconto_Perc,Quantidade,Tempo_Entrega_Dias,Mes
2023-04-13,Vestuário,"193,87","0,11",3,4,4
2023-12-15,Livros,"88,21","0,29",4,5,12
2023-09-28,Eletrônicos,"985,22","0,15",3,6,9
2023-04-17,Eletrônicos,"1300,85","0,21",3,5,4
2023-03-13,Eletrônicos,"1057,96","0,03",2,5,3
2023-07-08,Eletrônicos,"1388,49","0,07",1,4,7
2023-01-21,Eletrônicos,"850,2","0,38",4,5,1
2023-04-13,Vestuário,"147,14","0,36",5,3,4
2023-05-02,Casa e Decoração,"448,13","0,26",4,6,5
2023-08-03,Vestuário,"199,43","0,18",2,4,8
2023-11-27,Vestuário,"167,06","0,27",5,3,11
2023-03-29,Eletrônicos,"1098,29","0,25",4,5,3
2023-04-10,Vestuário,"86,3","0,23",3,2,4
2023-12-26,Vestuário,"119,7","0,02",1,7,12
2023-06-01,Beleza,"78,27","0,25",3,6,6
2023-05-11,Eletrônicos,"990,68","0,31",4,5,5
2023-05-30,Vestuário,"152,38","0,4",6,2,5
2023-11-05,Vestuário,"136,32",0,1,3,11
2023-09-15,Beleza,"94,3","0,29",5,5,9
2023-12-10,Beleza,"120,07","0,23",2,4,12
2023-10-21,Casa e Decoração,"309,35","0,17",3,2,10
2023-07-11,Vestuário,"94,69","0,05",2,3,7
2023-10-04,Livros,"49,47","0,16",2,4,10
2023-06-10,Eletrônicos,"1375,08","0,14",1,3,6
2023-11-10,Eletrônicos,"1403,38","0,12",1,7,11
2023-01-22,Vestuário,"166,24","0,29",5,5,1
2023-09-10,Eletrônicos,"1590,22","0,28",1,3,9
2023-08-24,Livros,"57,2","0,24",4,6,8
2023-12-11,Beleza,"141,3","0,38",5,6,12
2023-02-18,Vestuário,"182,73","0,14",2,5,2
2023-02-28,Casa e Decoração,"97,65","0,1",3,4,2
2023-06-19,Livros,"87,01","0,26",4,4,6
2023-07-07,Beleza,"70,83","0,08",3,4,7
2023-09-28,Casa e Decoração,"246,59","0,13",3,2,9
2023-07-09,Livros,"67,86","0,09",3,7,7
2023-06-24,Livros,"33,93","0,03",3,4,6
2023-02-20,Beleza,"72,61","0,33",5,5,2
2023-12-30,Eletrônicos,"1667,13","0,1",1,3,12
2023-02-24,Vestuário,"172,25","0,19",3,4,2
2023-09-01,Beleza,"110,31","0,02",1,9,9
2023-11-16,Eletrônicos,"1002,93","0,28",3,3,11
2023-05-11,Beleza,"51,54","0,13",4,7,5
2023-11-03,Eletrônicos,"1412,05","0,3",3,4,11
2023-05-15,Eletrônicos,"1479,08","0,16",2,6,5
2023-01-21,Vestuário,"185,4","0,08",1,6,1
2023-11-25,Eletrônicos,"1262,72","0,21",2,5,11
2023-06-16,Livros,"45,49","0,05",3,4,6
2023-10-01,Beleza,"150,94","0,18",4,4,10
2023-03-30,Beleza,"101,99","0,13",1,4,3
2023-11-12,Casa e Decoração,"332,61","0,36",5,7,11
2023-01-14,Eletrônicos,"1149,17","0,02",1,2,1
2023-08-30,Vestuário,"155,98","0,28",4,2,8
2023-09-22,Casa e Decoração,"456,96","0,07",2,2,9
2023-12-12,Vestuário,"157,59","0,13",2,3,12
2023-02-22,Vestuário,"184,34","0,17",3,6,2
2023-12-06,Vestuário,"156,06","0,36",6,6,12
2023-04-02,Vestuário,"145,51","0,1",3,4,4
2023-09-21,Livros,"69,62","0,04",2,4,9
2023-02-04,Beleza,"105,08","0,13",2,3,2
2023-07-25,Vestuário,"143,21","0,04",1,3,7
2023-03-22,Casa e Decoração,"275,08","0,05",2,5,3
2023-02-19,Beleza,"98,54","0,23",4,6,2
2023-12-26,Eletrônicos,"1223,5","0,02",1,4,12
2023-01-02,Beleza,"76,13","0,01",1,7,1
2023-02-23,Beleza,"68,94","0,29",5,6,2
2023-04-16,Vestuário,"166,42","0,14",3,7,4
2023-09-17,Vestuário,172,"0,05",2,4,9
2023-11-06,Vestuário,"135,6","0,1",3,7,11
2023-07-10,Vestuário,"126,8","0,26",4,8,7
2023-08-06,Eletrônicos,"950,92","0,11",1,4,8
2023-02-13,Beleza,"99,56","0,2",4,4,2
2023-06-11,Eletrônicos,"958,81","0,05",1,3,6
2023-07-21,Vestuário,"239,65","0,24",3,3,7
2023-09-27,Livros,"53,85","0,13",4,3,9
2023-12-17,Beleza,"29,37","0,25",3,3,12
2023-10-31,Vestuário,"148,79","0,32",4,5,10
2023-09-28,Vestuário,"147,08","0,24",3,3,9
2023-08-03,Eletrônicos,"1533,52","0,12",1,5,8
2023-09-09,Casa e Decoração,"378,81","0,1",2,5,9
2023-07-09,Eletrônicos,"949,85","0,13",1,4,7
2023-10-23,Vestuário,"138,54","0,07",2,4,10
2023-08-01,Livros,"64,91","0,07",3,4,8
2023-07-27,Eletrônicos,"550,59","0,32",2,4,7
2023-08-25,Beleza,"123,47","0,15",3,3,8
2023-12-04,Livros,"47,53","0,17",4,5,12
2023-02-22,Eletrônicos,"1625,11","0,24",1,4,2
2023-10-07,Beleza,"99,81","0,24",5,3,10
2023-08-05,Vestuário,"175,18","0,03",2,5,8
2023-09-09,Livros,"77,24","0,33",6,5,9
2023-07-07,Casa e Decoração,"407,31","0,07",1,6,7
2023-02-10,Casa e Decoração,"417,29","0,29",4,3,2
2023-06-06,Vestuário,"143,42","0,31",4,4,6
2023-01-15,Beleza,"99,3","0,29",6,30,1
2023-10-28,Beleza,"75,31","0,23",5,4,10
2023-03-06,Vestuário,"136,26","0,01",2,5,3
2023-12-11,Beleza,"139,12","0,14",3,5,12
2023-11-23,Eletrônicos,"957,54","0,24",4,5,11
2023-01-09,Eletrônicos,"1246,3","0,15",4,7,1
