tamanho_m2,num_quartos,idade_anos,preco_venda
142,3,4,471000.0
146,2,11,485000.0
111,3,15,383000.0
228,4,25,747000.0
60,1,25,202000.0
142,3,20,519000.0
161,5,38,551000.0
254,6,35,820000.0
127,2,32,379000.0
139,4,29,479000.0
191,3,36,570000.0
170,3,22,598000.0
189,4,9,683000.0
297,6,4,1014000.0
231,5,35,714000.0
200,5,33,686000.0
61,1,30,186000.0
292,6,9,1023000.0
275,5,18,882000.0
88,1,31,255000.0
98,1,0,359000.0
209,4,4,730000.0
227,5,3,791000.0
229,4,15,779000.0
214,6,23,715000.0
90,3,15,332000.0
94,1,1,347000.0
283,6,27,945000.0
170,5,31,587000.0
174,5,26,573000.0
60,1,19,176000.0
206,6,23,738000.0
128,3,11,464000.0
53,1,34,141000.0
281,6,32,950000.0
92,2,32,294000.0
131,3,36,440000.0
74,1,11,266000.0
245,6,2,912000.0
120,3,0,490000.0
89,3,32,293000.0
41,2,39,144000.0
93,2,9,354000.0
145,2,28,486000.0
299,6,12,994000.0
230,4,11,792000.0
257,6,30,872000.0
83,1,1,277000.0
201,4,34,621000.0
241,5,22,763000.0
254,6,16,865000.0
291,6,25,977000.0
229,4,7,813000.0
252,5,28,826000.0
247,6,25,864000.0
276,5,9,907000.0
92,2,25,272000.0
256,5,33,826000.0
291,6,6,1009000.0
227,6,3,814000.0
80,1,10,244000.0
196,3,28,625000.0
54,1,35,131000.0
104,1,24,342000.0
48,1,20,176000.0
168,3,35,510000.0
175,5,9,622000.0
102,3,36,308000.0
178,3,8,612000.0
120,4,23,443000.0
202,4,34,628000.0
270,5,34,877000.0
80,3,35,254000.0
67,1,17,216000.0
174,5,38,569000.0
240,6,31,777000.0
72,1,23,224000.0
87,2,22,273000.0
101,3,31,375000.0
255,6,36,834000.0
138,3,11,473000.0
211,6,12,753000.0
253,6,22,853000.0
74,1,24,235000.0
266,6,34,882000.0
140,3,29,472000.0
170,5,16,592000.0
296,6,19,978000.0
44,2,24,158000.0
257,6,21,823000.0
294,6,12,968000.0
246,6,18,869000.0
54,1,35,190000.0
81,1,11,281000.0
218,4,18,740000.0
102,1,11,355000.0
270,6,8,996000.0
280,6,6,990000.0
91,3,27,311000.0
135,2,13,440000.0
261,6,30,831000.0
270,6,18,918000.0
276,6,15,923000.0
182,5,4,635000.0
210,5,34,674000.0
68,1,11,225000.0
75,1,24,276000.0
52,1,20,199000.0
199,5,35,652000.0
226,4,22,774000.0
282,6,15,958000.0
125,2,38,362000.0
105,2,38,349000.0
209,5,13,737000.0
84,3,30,266000.0
101,3,4,386000.0
173,5,34,558000.0
67,1,22,194000.0
147,3,28,499000.0
83,3,10,362000.0
167,5,17,564000.0
270,6,11,939000.0
229,6,8,798000.0
264,5,9,889000.0
160,4,16,546000.0
155,4,37,484000.0
272,6,6,945000.0
298,6,12,993000.0
237,5,39,763000.0
176,4,8,621000.0
204,5,26,680000.0
264,6,1,912000.0
273,5,4,924000.0
211,5,28,717000.0
191,4,36,621000.0
199,5,37,628000.0
135,3,18,466000.0
272,6,7,957000.0
219,4,0,734000.0
152,2,21,505000.0
91,1,16,293000.0
152,2,6,535000.0
140,4,24,467000.0
152,3,3,509000.0
120,2,35,337000.0
226,5,5,794000.0
152,4,30,511000.0
41,2,18,149000.0
169,5,38,569000.0
259,5,26,817000.0
93,2,9,340000.0
263,6,25,855000.0
264,6,18,883000.0
165,5,38,545000.0
169,3,2,581000.0
92,3,12,339000.0
211,6,27,739000.0
257,6,19,861000.0
199,5,27,685000.0
237,5,7,799000.0
286,6,38,933000.0
242,6,0,895000.0
223,4,2,726000.0
162,4,12,556000.0
294,6,27,980000.0
137,4,24,469000.0
237,4,32,764000.0
279,5,37,876000.0
183,3,5,636000.0
136,3,31,438000.0
240,6,20,843000.0
163,3,15,559000.0
226,6,20,785000.0
298,6,10,1006000.0
187,4,36,589000.0
291,6,35,934000.0
186,3,34,593000.0
187,3,18,612000.0
238,4,19,792000.0
167,3,17,604000.0
78,1,13,290000.0
168,5,14,594000.0
190,5,30,659000.0
138,2,0,486000.0
291,6,2,968000.0
183,3,15,594000.0
151,4,22,482000.0
99,3,10,365000.0
41,1,11,166000.0
293,6,9,1035000.0
179,3,31,577000.0
76,1,15,259000.0
199,3,7,695000.0
48,1,37,91000.0
272,6,11,939000.0
138,2,23,463000.0
186,5,27,599000.0
247,5,7,875000.0
170,4,27,573000.0
191,4,35,605000.0
