idade,renda_mensal,uf,emprego,limite_credito
63.0,6091.0,BA,STATUS_Empresario,8700.0
20.0,15395.0,PR,STATUS_Empresario,8200.0
46.0,5165.0,MG,STATUS_Autonomo,4800.0
52.0,15305.0,PR,STATUS_Empresario,9300.0
56.0,10486.0,PR,STATUS_Empresario,8700.0
35.0,17610.0,SP,STATUS_Autonomo,5700.0
37.0,17433.0,SP,STATUS_Empresario,8700.0
60.0,9987.0,MG,STATUS_Empresario,8500.0
40.0,5392.0,PR,STATUS_Empresario,5100.0
51.0,10411.0,SP,STATUS_Autonomo,8100.0
50.0,3674.0,PR,STATUS_Empregado,3300.0
67.0,19930.0,MG,STATUS_Empregado,10600.0
65.0,12460.0,SP,STATUS_Autonomo,8800.0
27.0,2782.0,SP,STATUS_Empregado,3600.0
50.0,18064.0,RJ,STATUS_Empregado,8700.0
64.0,13587.0,BA,STATUS_Autonomo,7300.0
,4380.0,PR,STATUS_Autonomo,4900.0
65.0,13987.0,MG,STATUS_Empregado,7800.0
43.0,7673.0,PR,STATUS_Empregado,5400.0
37.0,12070.0,PR,STATUS_Empresario,8500.0
32.0,13722.0,PR,STATUS_Empregado,6500.0
54.0,10126.0,MG,STATUS_Empresario,8300.0
50.0,17840.0,BA,STATUS_Empregado,8600.0
,11919.0,PR,STATUS_Empresario,7000.0
22.0,3983.0,SP,STATUS_Empregado,4200.0
67.0,3149.0,RJ,STATUS_Autonomo,5900.0
21.0,12764.0,BA,STATUS_Autonomo,5100.0
20.0,5821.0,BA,STATUS_Empregado,3500.0
38.0,14842.0,PR,STATUS_Empregado,7200.0
57.0,5360.0,MG,STATUS_Empresario,7400.0
20.0,12787.0,BA,STATUS_Empresario,6600.0
,9199.0,RJ,STATUS_Empresario,7100.0
65.0,14928.0,RJ,STATUS_Empregado,8900.0
66.0,3701.0,MG,STATUS_Empregado,5900.0
25.0,1626.0,PR,STATUS_Autonomo,500.0
59.0,19907.0,RJ,STATUS_Empregado,10200.0
,12051.0,SP,STATUS_Autonomo,7000.0
46.0,10699.0,RJ,STATUS_Autonomo,6800.0
56.0,3024.0,BA,STATUS_Autonomo,3800.0
51.0,9785.0,PR,STATUS_Empresario,7600.0
39.0,14371.0,BA,STATUS_Autonomo,7700.0
48.0,1691.0,RJ,STATUS_Empresario,4200.0
45.0,11243.0,MG,STATUS_Empregado,7900.0
52.0,12080.0,BA,STATUS_Empresario,10800.0
51.0,2045.0,BA,STATUS_Autonomo,4000.0
30.0,13507.0,MG,STATUS_Autonomo,6700.0
58.0,1768.0,SP,STATUS_Empresario,4700.0
21.0,2038.0,RJ,STATUS_Autonomo,1600.0
60.0,1955.0,MG,STATUS_Empresario,6900.0
23.0,18820.0,MG,STATUS_Autonomo,7600.0
18.0,13419.0,PR,STATUS_Empresario,7300.0
29.0,2758.0,BA,STATUS_Empresario,5000.0
52.0,16393.0,RJ,STATUS_Empresario,10400.0
28.0,14752.0,MG,STATUS_Empregado,6600.0
40.0,17603.0,RJ,STATUS_Empresario,9800.0
31.0,5061.0,BA,STATUS_Empresario,5500.0
36.0,8599.0,BA,STATUS_Empregado,4500.0
54.0,2213.0,RJ,STATUS_Empregado,4600.0
33.0,8810.0,SP,STATUS_Empresario,8200.0
61.0,17585.0,SP,STATUS_Empregado,10700.0
,11484.0,PR,STATUS_Autonomo,5000.0
62.0,9458.0,RJ,STATUS_Empresario,8900.0
48.0,2618.0,BA,STATUS_Empregado,4700.0
24.0,6485.0,PR,STATUS_Empregado,3800.0
63.0,3755.0,MG,STATUS_Empresario,6000.0
69.0,1560.0,BA,STATUS_Empresario,5400.0
44.0,11456.0,PR,STATUS_Empregado,6300.0
34.0,17551.0,RJ,STATUS_Empregado,8200.0
24.0,12170.0,MG,STATUS_Empresario,7200.0
32.0,15143.0,RJ,STATUS_Empresario,8200.0
57.0,13150.0,RJ,STATUS_Empregado,6800.0
29.0,6001.0,BA,STATUS_Autonomo,4000.0
25.0,,SP,STATUS_Empregado,8400.0
19.0,19486.0,MG,STATUS_Empresario,8600.0
61.0,5296.0,BA,STATUS_Autonomo,5500.0
55.0,18300.0,SP,STATUS_Autonomo,7200.0
43.0,8203.0,RJ,STATUS_Empregado,5100.0
68.0,4356.0,MG,STATUS_Empresario,7800.0
,10838.0,SP,STATUS_Autonomo,4800.0
67.0,4033.0,BA,STATUS_Empregado,5100.0
30.0,5810.0,MG,STATUS_Empresario,6900.0
36.0,19442.0,PR,STATUS_Empresario,9500.0
35.0,11932.0,SP,STATUS_Empresario,7100.0
19.0,3184.0,PR,STATUS_Empregado,3400.0
69.0,19323.0,BA,STATUS_Empresario,13300.0
62.0,12104.0,PR,STATUS_Autonomo,7000.0
59.0,16501.0,SP,STATUS_Empregado,9500.0
66.0,3580.0,BA,STATUS_Empregado,6500.0
45.0,6500.0,BA,STATUS_Empregado,5500.0
67.0,18988.0,PR,STATUS_Empregado,9800.0
40.0,18465.0,MG,STATUS_Empresario,9300.0
21.0,12681.0,MG,STATUS_Empregado,4700.0
21.0,13794.0,SP,STATUS_Autonomo,6600.0
29.0,16987.0,SP,STATUS_Autonomo,7200.0
39.0,14818.0,MG,STATUS_Autonomo,8000.0
,11348.0,MG,STATUS_Autonomo,6800.0
57.0,11732.0,MG,STATUS_Autonomo,6400.0
59.0,,SP,STATUS_Empregado,5500.0
52.0,7584.0,RJ,STATUS_Empresario,7700.0
21.0,5443.0,SP,STATUS_Autonomo,2700.0
29.0,15607.0,MG,STATUS_Empresario,8900.0
21.0,17673.0,RJ,STATUS_Autonomo,6300.0
69.0,14320.0,BA,STATUS_Autonomo,7600.0
48.0,11481.0,SP,STATUS_Autonomo,6200.0
24.0,16206.0,SP,STATUS_Empresario,9300.0
27.0,15487.0,MG,STATUS_Empregado,7200.0
41.0,2321.0,RJ,STATUS_Autonomo,4200.0
32.0,9726.0,PR,STATUS_Empregado,4500.0
56.0,13810.0,PR,STATUS_Autonomo,6600.0
37.0,,RJ,STATUS_Empregado,4800.0
24.0,13445.0,PR,STATUS_Empregado,8000.0
30.0,3289.0,BA,STATUS_Autonomo,3500.0
45.0,3897.0,BA,STATUS_Empregado,3600.0
56.0,1829.0,SP,STATUS_Empresario,5800.0
35.0,5208.0,PR,STATUS_Empregado,4500.0
64.0,,MG,STATUS_Empresario,10800.0
28.0,16261.0,SP,STATUS_Empregado,7800.0
53.0,13433.0,RJ,STATUS_Empresario,9100.0
53.0,11426.0,BA,STATUS_Autonomo,6300.0
19.0,1889.0,MG,STATUS_Empresario,5000.0
65.0,17059.0,MG,STATUS_Empresario,9500.0
63.0,13583.0,RJ,STATUS_Empregado,7500.0
34.0,14005.0,SP,STATUS_Empregado,6200.0
23.0,6102.0,SP,STATUS_Autonomo,2800.0
58.0,11565.0,SP,STATUS_Empresario,8300.0
63.0,19391.0,RJ,STATUS_Empregado,10400.0
40.0,7071.0,RJ,STATUS_Empregado,6000.0
64.0,4241.0,PR,STATUS_Empresario,7700.0
33.0,,SP,STATUS_Empresario,5300.0
